Uur,Totaal [kWh],Normaal[kWh],Laag [kWh],P max [kW],p contract [kW]
11-06-2018 23:15 tot 23:30,0,0,0,,
11-06-2018 23:30 tot 23:45,0,0,0,,
11-06-2018 23:45 tot 00:00,0,0,0,,
12-06-2018 00:00 tot 00:15,0,0,0,0,684
12-06-2018 00:15 tot 00:30,0,0,0,,
12-06-2018 00:30 tot 00:45,0,0,0,,
12-06-2018 00:45 tot 01:00,0,0,0,,
12-06-2018 01:00 tot 01:15,0,0,0,0,684
12-06-2018 01:15 tot 01:30,0,0,0,,
12-06-2018 01:30 tot 01:45,0,0,0,,
12-06-2018 01:45 tot 02:00,0,0,0,,
12-06-2018 02:00 tot 02:15,0,0,0,0,684
12-06-2018 02:15 tot 02:30,0,0,0,,
12-06-2018 02:30 tot 02:45,0,0,0,,
12-06-2018 02:45 tot 03:00,0,0,0,,
12-06-2018 03:00 tot 03:15,0,0,0,0,684
12-06-2018 03:15 tot 03:30,0,0,0,,
12-06-2018 03:30 tot 03:45,0,0,0,,
12-06-2018 03:45 tot 04:00,0,0,0,,
12-06-2018 04:00 tot 04:15,0,0,0,0,684
12-06-2018 04:15 tot 04:30,0,0,0,,
12-06-2018 04:30 tot 04:45,0,0,0,,
12-06-2018 04:45 tot 05:00,0,0,0,,
12-06-2018 05:00 tot 05:15,0,0,0,1,684
12-06-2018 05:15 tot 05:30,0,0,0,,
12-06-2018 05:30 tot 05:45,0,0,0,,
12-06-2018 05:45 tot 06:00,0.36,0,0.36,,
12-06-2018 06:00 tot 06:15,1.44,0,1.44,19,684
12-06-2018 06:15 tot 06:30,2.88,0,2.88,,
12-06-2018 06:30 tot 06:45,3.6,0,3.6,,
12-06-2018 06:45 tot 07:00,4.86,0,4.86,,
12-06-2018 07:00 tot 07:15,6.75,6.75,0,44,684
12-06-2018 07:15 tot 07:30,7.02,7.02,0,,
12-06-2018 07:30 tot 07:45,7.61,7.61,0,,
12-06-2018 07:45 tot 08:00,11.12,11.12,0,,
12-06-2018 08:00 tot 08:15,12.47,12.47,0,51,684
12-06-2018 08:15 tot 08:30,12.87,12.87,0,,
12-06-2018 08:30 tot 08:45,11.21,11.21,0,,
12-06-2018 08:45 tot 09:00,11.61,11.61,0,,
12-06-2018 09:00 tot 09:15,11.52,11.52,0,72,684
12-06-2018 09:15 tot 09:30,11.97,11.97,0,,
12-06-2018 09:30 tot 09:45,17.91,17.91,0,,
12-06-2018 09:45 tot 10:00,14.27,14.27,0,,
12-06-2018 10:00 tot 10:15,13.95,13.95,0,83,684
12-06-2018 10:15 tot 10:30,13.37,13.37,0,,
12-06-2018 10:30 tot 10:45,20.75,20.75,0,,
12-06-2018 10:45 tot 11:00,18.99,18.99,0,,
12-06-2018 11:00 tot 11:15,14.81,14.81,0,87,684
12-06-2018 11:15 tot 11:30,20.07,20.07,0,,
12-06-2018 11:30 tot 11:45,18.5,18.5,0,,
12-06-2018 11:45 tot 12:00,21.74,21.74,0,,
12-06-2018 12:00 tot 12:15,14.4,14.4,0,58,684
12-06-2018 12:15 tot 12:30,13.73,13.73,0,,
12-06-2018 12:30 tot 12:45,12.15,12.15,0,,
12-06-2018 12:45 tot 13:00,13.91,13.91,0,,
12-06-2018 13:00 tot 13:15,15.84,15.84,0,99,684
12-06-2018 13:15 tot 13:30,15.8,15.8,0,,
12-06-2018 13:30 tot 13:45,23.45,23.45,0,,
12-06-2018 13:45 tot 14:00,24.84,24.84,0,,
12-06-2018 14:00 tot 14:15,22.23,22.23,0,92,684
12-06-2018 14:15 tot 14:30,22.91,22.91,0,,
12-06-2018 14:30 tot 14:45,21.47,21.47,0,,
12-06-2018 14:45 tot 15:00,13.46,13.46,0,,
12-06-2018 15:00 tot 15:15,12.42,12.42,0,50,684
12-06-2018 15:15 tot 15:30,11.3,11.3,0,,
12-06-2018 15:30 tot 15:45,10.85,10.85,0,,
12-06-2018 15:45 tot 16:00,10.8,10.8,0,,
12-06-2018 16:00 tot 16:15,14.54,14.54,0,133,684
12-06-2018 16:15 tot 16:30,23.85,23.85,0,,
12-06-2018 16:30 tot 16:45,28.44,28.44,0,,
12-06-2018 16:45 tot 17:00,33.26,33.26,0,,
12-06-2018 17:00 tot 17:15,32.72,32.72,0,197,684
